,0,1,2,3,4,5,6,7,8,9,10
0,GET_STATS,,,,,,,,,,
1,RESULT,,,,,,,,,,
2,STATUS,0,,,,,,,,,
3,ERROR_MSG,正常に終了しました。,,,,,,,,,
4,DATE,Thu Jan 10 10:13:56 JST 2019,,,,,,,,,
5,PARAMETER,,,,,,,,,,
6,LANG,JP,,,,,,,,,
7,INDICATOR_CODE,0201010010000010030,,,,,,,,,
8,REGION_CODE,,,,,,,,,,
9,PARENT_REGION_CODE,,,,,,,,,,
10,REGION_LEVEL,3,,,,,,,,,
11,TIME,,,,,,,,,,
12,TIME_FROM,,,,,,,,,,
13,TIME_TO,,,,,,,,,,
14,CYCLE,,,,,,,,,,
15,REGIONAL_RANK,,,,,,,,,,
16,IS_SEASONAL_ADJUSTMENT,,,,,,,,,,
17,STAT_NAME,,,,,,,,,,
18,VALUE_CONDITION,,,,,,,,,,
19,META_GET_FLG,,,,,,,,,,
20,SECTION_HEADER_FLG,,,,,,,,,,
21,MODIFIED_FROM,00010101,,,,,,,,,
22,MODIFIED_TO,,,,,,,,,,
23,STATISTICAL_DATA,,,,,,,,,,
24,RESULT_INF,,,,,,,,,,
25,TOTAL_NUMBER,2021,,,,,,,,,
26,TABLE_INF,,,,,,,,,,
27,STAT_CD,20020101,,,,,,,,,
28,STAT_NAME,国勢調査・人口推計,,,,,,,,,
29,GOV_ORG,総務省統計局,,,,,,,,,
30,indicatorCd,unitCd,statCd,regionCd,timeCd,cycle,regionRank,isSeasonal,isProvisional,value,cellAnnotations
31,0201010010000010030,090,20020101,01000,1975CY00,3,3,1,0,366651,
32,0201010010000010030,090,20020101,02000,1975CY00,3,3,1,0,110752,
33,0201010010000010030,090,20020101,03000,1975CY00,3,3,1,0,118397,
34,0201010010000010030,090,20020101,04000,1975CY00,3,3,1,0,150010,
35,0201010010000010030,090,20020101,05000,1975CY00,3,3,1,0,109172,
36,0201010010000010030,090,20020101,06000,1975CY00,3,3,1,0,123137,
37,0201010010000010030,090,20020101,07000,1975CY00,3,3,1,0,180356,
38,0201010010000010030,090,20020101,08000,1975CY00,3,3,1,0,196380,
39,0201010010000010030,090,20020101,09000,1975CY00,3,3,1,0,140651,
40,0201010010000010030,090,20020101,10000,1975CY00,3,3,1,0,154371,
41,0201010010000010030,090,20020101,11000,1975CY00,3,3,1,0,256014,
42,0201010010000010030,090,20020101,12000,1975CY00,3,3,1,0,261205,
43,0201010010000010030,090,20020101,13000,1975CY00,3,3,1,0,731808,
44,0201010010000010030,090,20020101,14000,1975CY00,3,3,1,0,337305,
45,0201010010000010030,090,20020101,15000,1975CY00,3,3,1,0,228759,
46,0201010010000010030,090,20020101,16000,1975CY00,3,3,1,0,101265,
47,0201010010000010030,090,20020101,17000,1975CY00,3,3,1,0,97825,
48,0201010010000010030,090,20020101,18000,1975CY00,3,3,1,0,78349,
49,0201010010000010030,090,20020101,19000,1975CY00,3,3,1,0,79870,
50,0201010010000010030,090,20020101,20000,1975CY00,3,3,1,0,215328,
51,0201010010000010030,090,20020101,21000,1975CY00,3,3,1,0,160152,
52,0201010010000010030,090,20020101,22000,1975CY00,3,3,1,0,260626,
53,0201010010000010030,090,20020101,23000,1975CY00,3,3,1,0,375639,
54,0201010010000010030,090,20020101,24000,1975CY00,3,3,1,0,160166,
55,0201010010000010030,090,20020101,25000,1975CY00,3,3,1,0,91937,
56,0201010010000010030,090,20020101,26000,1975CY00,3,3,1,0,217137,
57,0201010010000010030,090,20020101,27000,1975CY00,3,3,1,0,500674,
58,0201010010000010030,090,20020101,28000,1975CY00,3,3,1,0,395727,
59,0201010010000010030,090,20020101,29000,1975CY00,3,3,1,0,92033,
60,0201010010000010030,090,20020101,30000,1975CY00,3,3,1,0,111518,
61,0201010010000010030,090,20020101,31000,1975CY00,3,3,1,0,64720,
62,0201010010000010030,090,20020101,32000,1975CY00,3,3,1,0,95831,
63,0201010010000010030,090,20020101,33000,1975CY00,3,3,1,0,193289,
64,0201010010000010030,090,20020101,34000,1975CY00,3,3,1,0,235015,
65,0201010010000010030,090,20020101,35000,1975CY00,3,3,1,0,158042,
66,0201010010000010030,090,20020101,36000,1975CY00,3,3,1,0,86505,
67,0201010010000010030,090,20020101,37000,1975CY00,3,3,1,0,101376,
68,0201010010000010030,090,20020101,38000,1975CY00,3,3,1,0,152344,
69,0201010010000010030,090,20020101,39000,1975CY00,3,3,1,0,98752,
70,0201010010000010030,090,20020101,40000,1975CY00,3,3,1,0,354847,
71,0201010010000010030,090,20020101,41000,1975CY00,3,3,1,0,90026,
72,0201010010000010030,090,20020101,42000,1975CY00,3,3,1,0,148708,
73,0201010010000010030,090,20020101,43000,1975CY00,3,3,1,0,182859,
74,0201010010000010030,090,20020101,44000,1975CY00,3,3,1,0,125669,
75,0201010010000010030,090,20020101,45000,1975CY00,3,3,1,0,102923,
76,0201010010000010030,090,20020101,46000,1975CY00,3,3,1,0,198770,
77,0201010010000010030,090,20020101,47000,1975CY00,3,3,1,0,72539,
78,0201010010000010030,090,20020101,01000,1976CY00,3,3,1,0,386000,
79,0201010010000010030,090,20020101,02000,1976CY00,3,3,1,0,116000,
80,0201010010000010030,090,20020101,03000,1976CY00,3,3,1,0,124000,
